"대장관리번호","시설물 종류 코드","코드명","수량(개)","면적(㎡)","연장(m)","빗물 관리량(㎥/h)","저류 용량(㎥)","자치구코드","자치구명","준공일"
"1547","FGN001","투수성포장","0","1300","320","22","0","11140","중구","2014-11-30 00:00:00.0"
"1546","FGN001","투수성포장","0","1640","400","28","0","11140","중구","2014-11-04 00:00:00.0"
"1545","FGN999","기타","0","50","0","1","0","11110","종로구","2014-12-31 00:00:00.0"
"1544","FGN001","투수성포장","0","215","0","4","0","11110","종로구","2015-07-09 00:00:00.0"
"1543","FGN001","투수성포장","0","2390","820","41","0","11110","종로구","2015-07-09 00:00:00.0"
"1541","FGN001","투수성포장","0","1000","400","17","0","11380","은평구","2014-06-30 00:00:00.0"
"1540","FGN001","투수성포장","0","3200","450","54","0","11560","영등포구","2014-06-13 00:00:00.0"
"1539","FGN001","투수성포장","0","1350","0","23","0","11710","송파구","2014-11-30 00:00:00.0"
"1538","FGN001","투수성포장","0","3200","600","54","0","11710","송파구","2015-03-17 00:00:00.0"
"1537","FGN001","투수성포장","0","252","0","4","0","11290","성북구","2014-12-24 00:00:00.0"
"1536","FGN003","침투트렌치","0","0","480","27","0","11650","서초구","2014-12-31 00:00:00.0"
"1535","FGN001","투수성포장","0","1500","500","26","0","11650","서초구","2014-12-31 00:00:00.0"
"1534","FGN001","투수성포장","0","807","0","14","0","11440","마포구","2014-12-31 00:00:00.0"
"1533","FGN001","투수성포장","0","1360","680","23","0","11320","도봉구","2014-12-18 00:00:00.0"
"1532","FGN001","투수성포장","0","1120","280","19","0","11350","노원구","2014-12-31 00:00:00.0"
"1531","FGN001","투수성포장","0","4000","800","68","0","11350","노원구","2014-12-31 00:00:00.0"
"1530","FGN001","투수성포장","0","400","0","7","0","11620","관악구","2014-10-31 00:00:00.0"
"1529","FGN999","기타","0","0","0","19","330","11500","강서구","2014-12-31 00:00:00.0"
"1528","FGN999","기타","0","0","0","113","2000","11500","강서구","2015-08-26 00:00:00.0"
"1527","FGN07","옥상녹화","0","180","0","5","0","11200","성동구","2017-12-12 00:00:00.0"
"1526","FGN001","투수성포장","0","2869","0","49","0","11350","노원구","2017-12-07 00:00:00.0"
"1525","FGN07","옥상녹화","0","46","0","0","0","11500","강서구","2017-12-15 00:00:00.0"
"1524","FGN07","옥상녹화","0","254","0","1","0","11500","강서구","2017-12-12 00:00:00.0"
"1523","FGN07","옥상녹화","0","37","0","0","0","11200","성동구","2017-11-24 00:00:00.0"
"1522","FGN001","투수성포장","0","516","0","9","0","11500","강서구","2017-11-20 00:00:00.0"
"1521","FGN07","옥상녹화","0","77","0","0","0","11500","강서구","2017-11-13 00:00:00.0"
"1520","FGN07","옥상녹화","0","328","0","1","0","11500","강서구","2017-11-01 00:00:00.0"
"1519","FGN001","투수성포장","0","0","164","3","0","11650","서초구","2017-07-26 00:00:00.0"
"1518","FGN005","정방형침투통","4","0","0","1","","11260","중랑구","2017-05-29 00:00:00.0"
"1517","FGN005","정방형침투통","2","0","0","0","0","11650","서초구","2017-05-24 00:00:00.0"
"1516","FGN005","정방형침투통","10","0","","1","","11650","서초구",""
"1515","FGN002","침투측구","0","0","27","2","0","11680","강남구","2017-09-22 00:00:00.0"
"1514","FGN07","옥상녹화","0","0","0","1","0","11590","동작구","2017-09-29 00:00:00.0"
"1513","FGN005","정방형침투통","1","0","0","1","0","11560","영등포구","2017-07-26 00:00:00.0"
"1512","FGN07","옥상녹화","0","0","0","1","0","11620","관악구","2017-07-31 00:00:00.0"
"1511","FGN002","침투측구","0","0","65","4","0","11140","중구","2017-10-31 00:00:00.0"
"1510","FGN001","투수성포장","0","14","0","0","0","11110","종로구","2017-10-25 00:00:00.0"
"1509","FGN07","옥상녹화","0","142","0","0","0","11140","중구","2017-09-13 00:00:00.0"
"1508","FGN001","투수성포장","0","885","0","15","0","11110","종로구","2017-09-21 00:00:00.0"
"1507","FGN07","옥상녹화","0","441","0","1","0","11215","광진구","2017-09-18 00:00:00.0"
"1506","FGN003","침투트렌치","0","0","15","1","0","11215","광진구","2017-09-18 00:00:00.0"
"1505","FGN005","정방형침투통","5","","","1","0","11200","성동구","2017-08-28 00:00:00.0"
"1504","FGN003","침투트렌치","0","0","93","5","0","11200","성동구","2017-08-23 00:00:00.0"
"1503","FGN002","침투측구","0","0","37","3","0","11200","성동구","2017-08-11 00:00:00.0"
"1502","FGN07","옥상녹화","0","3497379","0","10","0","11170","용산구","2017-07-04 00:00:00.0"
"1501","FGN003","침투트렌치","0","0","151","9","0","11170","용산구","2017-07-21 00:00:00.0"
"1500","FGN001","투수성포장","0","2771","0","47","0","11200","성동구","2017-07-25 00:00:00.0"
"1499","FGN07","옥상녹화","0","58","0","0","0","11200","성동구","2017-07-04 00:00:00.0"
"1498","FGN005","정방형침투통","6","0","0","1","0","11500","강서구","2017-10-23 00:00:00.0"
"1497","FGN001","투수성포장","0","358","0","6","0","11500","강서구","2017-10-13 00:00:00.0"
"1496","FGN001","투수성포장","0","420","0","7","0","11500","강서구","2017-10-18 00:00:00.0"
"1495","FGN07","옥상녹화","0","342","0","1","0","11500","강서구","2017-10-20 00:00:00.0"
"1494","FGN07","옥상녹화","0","85","0","0","0","11380","은평구","2017-09-21 00:00:00.0"
"1493","FGN001","투수성포장","0","20","0","0","0","11500","강서구","2017-09-01 00:00:00.0"
"1492","FGN001","투수성포장","0","288","0","5","0","11500","강서구","2017-09-29 00:00:00.0"
"1491","FGN003","침투트렌치","0","0","24","1","0","11500","강서구","2017-09-21 00:00:00.0"
"1490","FGN005","정방형침투통","11","0","0","4","0","11500","강서구","2017-09-21 00:00:00.0"
"1489","FGN07","옥상녹화","0","89","0","0","0","11500","강서구","2017-09-28 00:00:00.0"
"1488","FGN07","옥상녹화","0","91","0","0","0","11680","강남구","2017-09-15 00:00:00.0"
"1487","FGN003","침투트렌치","0","0","112","5","0","11470","양천구","2017-07-04 00:00:00.0"
"1486","FGN07","옥상녹화","0","32","0","0","0","11500","강서구","2017-08-11 00:00:00.0"
